id,address,port
0,35.160.215.250,7000
1,34.208.60.253,7000
2,54.218.144.35,7000
3,52.13.110.148,7000
4,54.188.17.95,7000
5,34.222.132.15,7000
6,52.33.179.213,7000
7,54.212.238.60,7000
8,35.167.51.122,7000
9,54.187.20.63,7000
